Model,MinMax,Power,Quantile,Raw,Robust,Standard
AdaBoost,0.007039878964395153,0.007039878964395153,0.007039878964395153,0.007039878964395153,0.007039878964395153,0.007039878964395153
CB,0.0011257713405088553,0.0009934682514638714,0.0007412686197773723,0.001121135337256163,0.0010214708893442703,0.0007643306803268504
GB,0.003933805586056446,0.003933805586056446,0.003933805586056446,0.003933805586056446,0.003933805586056446,0.003933805586056446
KNN,0.0020019521722558745,0.0012852664012655672,0.0017721808598447283,0.0026258265894338385,0.0014514719540291887,0.0014796067420470426
LDA,0.0021963116177405716,0.00225250632012927,0.0014487782208927793,0.0021963116177405716,0.0021963116177405716,0.0021963116177405716
LGBM,0.0014796067420470645,0.0012706625568313927,0.0023305414845291115,0.0019146275384813445,0.0020874958416458966,0.0015046225071056697
LR,0.002267486065129302,0.0031377517605940307,0.0028960581447508415,0.0026951602714660444,0.0026429610393563373,0.0027139365115803507
LinearSVC,0.002487817539754671,0.002656883094488323,0.0018512383242935981,0.0026885495366667806,0.002681275090532699,0.0026833786228062113
NB,0.0027231963959859834,0.0018996070500091357,0.002537051821395122,0.0027231963959859834,0.0027231963959859834,0.0027231963959859834
QDA,0.008144101478302463,0.0018382982015379761,0.0018533471971903651,0.028058749130668283,0.013793271558182916,0.013867459162049511
RF,0.002021370203599536,0.0021088026486874344,0.002335192711533707,0.0020429417786885546,0.0020429417786885546,0.0020429417786885546
SGD,0.0032738176406825682,0.0022022321378294633,0.002052479868625047,0.009477541069403092,0.003907902428271326,0.0029918871785026956
SVM,0.0016509677296798818,0.0013136568975361954,0.001488380924957664,0.0015756392000990742,0.0008052561704202981,0.00140157401596285
XGB,0.00108253175473054,0.0012903218806001558,0.0008057949835755998,0.0011361331837029618,0.0012903218806001558,0.0014532650022162526
