Model,Optimal_Scaler,CV_Mean,CV_Std
CB,Raw,0.9884791666666667,0.001121135337256163
XGB,Power,0.9862083333333332,0.0012903218806001558
SVM,Standard,0.9790208333333332,0.00140157401596285
LGBM,Raw,0.96775,0.0019146275384813445
RF,MinMax,0.9599791666666666,0.002021370203599536
KNN,Raw,0.9326666666666666,0.0026258265894338385
GB,MinMax,0.9225833333333334,0.003933805586056446
LinearSVC,Power,0.8969999999999999,0.002656883094488323
LDA,Power,0.8953125,0.00225250632012927
LR,Power,0.8950833333333333,0.0031377517605940307
QDA,Power,0.8924375,0.0018382982015379761
SGD,Power,0.8912708333333332,0.0022022321378294633
AdaBoost,MinMax,0.8875624999999999,0.007039878964395153
NB,Power,0.8430416666666666,0.0018996070500091357
