Model,Optimal_Scaler,Inference_Time_Total_Sec,Inference_Time_Per_Sample_Us
CB,Raw,0.049185599986230955,4.098799998852579
XGB,Power,0.00911790001555346,0.7598250012961216
SVM,Standard,5.650245700002415,470.8538083335346
LGBM,Raw,0.024783199973171577,2.0652666644309647
RF,MinMax,0.03832059999695048,3.1933833330792063
KNN,Raw,1.3226006999902893,110.21672499919077
GB,MinMax,0.01805179999792017,1.5043166664933476
LinearSVC,Power,0.012564800010295585,1.047066667524632
LDA,Power,0.0004453000146895647,0.03710833455746373
LR,Power,0.0008000000088941306,0.06666666740784422
QDA,Power,0.0056539000070188195,0.4711583339182349
SGD,Power,0.0006949999951757491,0.057916666264645755
AdaBoost,MinMax,0.03258369999821298,2.715308333184415
NB,Power,0.002970800007460639,0.24756666728838658
