Model,Optimal_Scaler,Test_Accuracy,Test_F1,Test_MCC,Test_Precision,Test_Recall,Test_AUC,Test_LogLoss,Test_Kappa,CV_Accuracy_Mean,CV_Accuracy_Std,Inference_Time_s
CB,Raw,0.99225,0.9939417627516123,0.98321369921176,0.9914230019493178,0.9964733542319749,0.9995308149123161,0.05874523904409206,0.9831892671605046,0.9884791666666667,0.001121135337256163,0.049185599986230955
XGB,Power,0.9899166666666667,0.9921054348535264,0.9781577155711857,0.9911354451831573,0.9930773249738767,0.9994275905848349,0.04499483465296266,0.9781541285808272,0.9862083333333332,0.0012903218806001558,0.00911790001555346
SVM,Standard,0.9823333333333333,0.9861763171622326,0.9617164522345075,0.9846354166666667,0.9877220480668757,0.998714431657016,0.04388337364887045,0.9617074157563147,0.9790208333333332,0.00140157401596285,5.650245700002415
LGBM,Raw,0.9710833333333333,0.9774777698448757,0.9372393268165009,0.9714875499935492,0.9835423197492164,0.9968974068653769,0.10691974663161118,0.9371003515854699,0.96775,0.0019146275384813445,0.024783199973171577
RF,MinMax,0.969,0.9759192128430865,0.9327147081408138,0.9674024640657084,0.9845872518286312,0.9962445949300589,0.13856586261342857,0.9324300760270628,0.9599791666666666,0.002021370203599536,0.03832059999695048
KNN,Raw,0.9394166666666667,0.9528381446642881,0.8683176041691069,0.946513725995618,0.9592476489028213,0.9821708914973701,0.2786713204963769,0.868166127362764,0.9326666666666666,0.0026258265894338385,1.3226006999902893
GB,MinMax,0.92625,0.9431124252747959,0.8392062897621786,0.9284900645487912,0.9582027168234065,0.9825104372934912,0.20488973580629946,0.838365729589701,0.9225833333333334,0.003933805586056446,0.01805179999792017
LinearSVC,Power,0.9051666666666667,0.9263621068978906,0.7934961097251211,0.9179276737625032,0.9349529780564263,,,0.7932319624866818,0.8969999999999999,0.002656883094488323,0.012564800010295585
LDA,Power,0.9035,0.9250097137676466,0.7899447427019307,0.9172874389930645,0.9328631138975967,0.9675199977965983,0.23427177587967124,0.7897246155120042,0.8953125,0.00225250632012927,0.0004453000146895647
LR,Power,0.903,0.9247673216132368,0.7886507635204266,0.9153019447287615,0.9344305120167189,0.9682308114003436,0.22034223013680013,0.7883168351402783,0.8950833333333333,0.0031377517605940307,0.0008000000088941306
QDA,Power,0.9015833333333333,0.9240172424885801,0.7851552010037135,0.9104856092303791,0.937957157784744,0.9651345025315068,0.2510910777644843,0.7844571129882749,0.8924375,0.0018382982015379761,0.0056539000070188195
SGD,Power,0.8955833333333333,0.918472249333073,0.7733445540606293,0.9150784389990925,0.9218913270637409,0.963230219657039,0.2362669391169911,0.7733034303732154,0.8912708333333332,0.0022022321378294633,0.0006949999951757491
AdaBoost,MinMax,0.8935,0.9177817807514154,0.7674303312049316,0.9042849898580122,0.9316875653082549,0.9601539663158543,0.5214956694744419,0.7667420100925147,0.8875624999999999,0.007039878964395153,0.03258369999821298
NB,Power,0.8475,0.8793194407807966,0.6725019970635531,0.887986148108684,0.8708202716823407,0.9273600815739794,0.3496826664179716,0.6722657290959262,0.8430416666666666,0.0018996070500091357,0.002970800007460639
