Model,Optimizer,Iteration,Best_Score_So_Far
AdaBoost,TPE,1,0.9129166666666666
AdaBoost,TPE,2,0.9129166666666666
AdaBoost,TPE,3,0.9129166666666666
AdaBoost,TPE,4,0.9129166666666666
AdaBoost,TPE,5,0.9129166666666666
AdaBoost,TPE,6,0.9129166666666666
AdaBoost,TPE,7,0.9129166666666666
AdaBoost,TPE,8,0.9129166666666666
AdaBoost,TPE,9,0.9495208333333334
AdaBoost,TPE,10,0.9495208333333334
AdaBoost,TPE,11,0.9495208333333334
AdaBoost,TPE,12,0.9495208333333334
AdaBoost,TPE,13,0.9499166666666669
AdaBoost,TPE,14,0.9499166666666669
AdaBoost,TPE,15,0.9499166666666669
AdaBoost,TPE,16,0.9499166666666669
AdaBoost,TPE,17,0.9499166666666669
AdaBoost,TPE,18,0.9499166666666669
AdaBoost,TPE,19,0.9499166666666669
AdaBoost,TPE,20,0.9499166666666669
AdaBoost,TPE,21,0.9499166666666669
AdaBoost,TPE,22,0.9499166666666669
AdaBoost,TPE,23,0.9499166666666669
AdaBoost,TPE,24,0.9499166666666669
AdaBoost,TPE,25,0.9499166666666669
AdaBoost,TPE,26,0.9499166666666669
AdaBoost,TPE,27,0.9499166666666669
AdaBoost,TPE,28,0.9499166666666669
AdaBoost,TPE,29,0.9499166666666669
AdaBoost,TPE,30,0.9499166666666669
AdaBoost,TPE,31,0.9499166666666669
AdaBoost,TPE,32,0.9499166666666669
AdaBoost,TPE,33,0.9499166666666669
AdaBoost,TPE,34,0.9499166666666669
AdaBoost,TPE,35,0.9499166666666669
AdaBoost,TPE,36,0.9499166666666669
AdaBoost,TPE,37,0.9499166666666669
AdaBoost,TPE,38,0.9499166666666669
AdaBoost,TPE,39,0.9499166666666669
AdaBoost,TPE,40,0.9499166666666669
AdaBoost,TPE,41,0.9499166666666669
AdaBoost,TPE,42,0.950125
AdaBoost,TPE,43,0.950125
AdaBoost,TPE,44,0.950125
AdaBoost,TPE,45,0.950125
AdaBoost,TPE,46,0.9502916666666664
AdaBoost,TPE,47,0.9502916666666664
AdaBoost,TPE,48,0.9502916666666664
AdaBoost,TPE,49,0.9502916666666664
AdaBoost,TPE,50,0.9502916666666664
AdaBoost,GWO,1,0.8785208333333333
AdaBoost,GWO,2,0.8785208333333333
AdaBoost,GWO,3,0.8948541666666667
AdaBoost,GWO,4,0.8948541666666667
AdaBoost,GWO,5,0.9184583333333332
AdaBoost,GWO,6,0.9184583333333332
AdaBoost,GWO,7,0.9184583333333332
AdaBoost,GWO,8,0.952
AdaBoost,GWO,9,0.952
AdaBoost,GWO,10,0.952
AdaBoost,GWO,11,0.952
AdaBoost,GWO,12,0.952
AdaBoost,GWO,13,0.952
AdaBoost,GWO,14,0.952
AdaBoost,GWO,15,0.952
AdaBoost,GWO,16,0.952
AdaBoost,GWO,17,0.952
AdaBoost,GWO,18,0.952
AdaBoost,GWO,19,0.952
AdaBoost,GWO,20,0.952
AdaBoost,GWO,21,0.952
AdaBoost,GWO,22,0.952
AdaBoost,GWO,23,0.952
AdaBoost,GWO,24,0.952
AdaBoost,GWO,25,0.952
AdaBoost,GWO,26,0.952
AdaBoost,GWO,27,0.952
AdaBoost,GWO,28,0.952
AdaBoost,GWO,29,0.952
AdaBoost,GWO,30,0.952
AdaBoost,GWO,31,0.952
AdaBoost,GWO,32,0.952
AdaBoost,GWO,33,0.952
AdaBoost,GWO,34,0.952
AdaBoost,GWO,35,0.952
AdaBoost,GWO,36,0.952
AdaBoost,GWO,37,0.952
AdaBoost,GWO,38,0.952
AdaBoost,GWO,39,0.952
AdaBoost,GWO,40,0.952
AdaBoost,GWO,41,0.952
AdaBoost,GWO,42,0.952
AdaBoost,GWO,43,0.952
AdaBoost,GWO,44,0.952
AdaBoost,GWO,45,0.952
AdaBoost,GWO,46,0.952
AdaBoost,GWO,47,0.952
AdaBoost,GWO,48,0.952
AdaBoost,GWO,49,0.952
AdaBoost,GWO,50,0.952
CB,TPE,1,0.9837291666666664
CB,TPE,2,0.9879583333333332
CB,TPE,3,0.9879583333333332
CB,TPE,4,0.9879583333333332
CB,TPE,5,0.9879583333333332
CB,TPE,6,0.9879583333333332
CB,TPE,7,0.9879583333333332
CB,TPE,8,0.9883541666666668
CB,TPE,9,0.9883541666666668
CB,TPE,10,0.9883541666666668
CB,TPE,11,0.9883541666666668
CB,TPE,12,0.9896458333333332
CB,TPE,13,0.9896458333333332
CB,TPE,14,0.9902708333333332
CB,TPE,15,0.9902708333333332
CB,TPE,16,0.9927708333333334
CB,TPE,17,0.9936875
CB,TPE,18,0.9936875
CB,TPE,19,0.9936875
CB,TPE,20,0.9936875
CB,TPE,21,0.9936875
CB,TPE,22,0.9936875
CB,TPE,23,0.9936875
CB,TPE,24,0.9937291666666668
CB,TPE,25,0.9937291666666668
CB,TPE,26,0.9937291666666668
CB,TPE,27,0.9937291666666668
CB,TPE,28,0.9937291666666668
CB,TPE,29,0.9937291666666668
CB,TPE,30,0.9937291666666668
CB,TPE,31,0.9937291666666668
CB,TPE,32,0.9940416666666668
CB,TPE,33,0.9940416666666668
CB,TPE,34,0.9940416666666668
CB,TPE,35,0.9940416666666668
CB,TPE,36,0.9940416666666668
CB,TPE,37,0.9940416666666668
CB,TPE,38,0.9940416666666668
CB,TPE,39,0.9942083333333332
CB,TPE,40,0.9942083333333332
CB,TPE,41,0.9942083333333332
CB,TPE,42,0.9942083333333332
CB,TPE,43,0.995125
CB,TPE,44,0.995125
CB,TPE,45,0.995125
CB,TPE,46,0.995125
CB,TPE,47,0.995125
CB,TPE,48,0.995125
CB,TPE,49,0.995125
CB,TPE,50,0.995125
CB,GWO,1,0.9789583333333332
CB,GWO,2,0.9851041666666668
CB,GWO,3,0.9851041666666668
CB,GWO,4,0.9921875
CB,GWO,5,0.9921875
CB,GWO,6,0.9921875
CB,GWO,7,0.9921875
CB,GWO,8,0.9921875
CB,GWO,9,0.9921875
CB,GWO,10,0.9921875
CB,GWO,11,0.9921875
CB,GWO,12,0.9921875
CB,GWO,13,0.9921875
CB,GWO,14,0.9921875
CB,GWO,15,0.994875
CB,GWO,16,0.994875
CB,GWO,17,0.994875
CB,GWO,18,0.994875
CB,GWO,19,0.994875
CB,GWO,20,0.994875
CB,GWO,21,0.994875
CB,GWO,22,0.994875
CB,GWO,23,0.994875
CB,GWO,24,0.994875
CB,GWO,25,0.994875
CB,GWO,26,0.994875
CB,GWO,27,0.994875
CB,GWO,28,0.994875
CB,GWO,29,0.994875
CB,GWO,30,0.9954791666666668
CB,GWO,31,0.9954791666666668
CB,GWO,32,0.9954791666666668
CB,GWO,33,0.9954791666666668
CB,GWO,34,0.9954791666666668
CB,GWO,35,0.9954791666666668
CB,GWO,36,0.9954791666666668
CB,GWO,37,0.9954791666666668
CB,GWO,38,0.9954791666666668
CB,GWO,39,0.9954791666666668
CB,GWO,40,0.9954791666666668
CB,GWO,41,0.9954791666666668
CB,GWO,42,0.9954791666666668
CB,GWO,43,0.9954791666666668
CB,GWO,44,0.9954791666666668
CB,GWO,45,0.9954791666666668
CB,GWO,46,0.9954791666666668
CB,GWO,47,0.9954791666666668
CB,GWO,48,0.9954791666666668
CB,GWO,49,0.9954791666666668
CB,GWO,50,0.9954791666666668
GB,TPE,1,0.9869791666666669
GB,TPE,2,0.9869791666666669
GB,TPE,3,0.9906875
GB,TPE,4,0.9906875
GB,TPE,5,0.9906875
GB,TPE,6,0.9949583333333332
GB,TPE,7,0.9949583333333332
GB,TPE,8,0.9949583333333332
GB,TPE,9,0.9951875
GB,TPE,10,0.9951875
GB,TPE,11,0.9951875
GB,TPE,12,0.9951875
GB,TPE,13,0.9951875
GB,TPE,14,0.9951875
GB,TPE,15,0.9951875
GB,TPE,16,0.9951875
GB,TPE,17,0.9951875
GB,TPE,18,0.9951875
GB,TPE,19,0.9951875
GB,TPE,20,0.9951875
GB,TPE,21,0.9951875
GB,TPE,22,0.9951875
GB,TPE,23,0.9951875
GB,TPE,24,0.9951875
GB,TPE,25,0.9951875
GB,TPE,26,0.9951875
GB,TPE,27,0.9951875
GB,TPE,28,0.9951875
GB,TPE,29,0.9951875
GB,TPE,30,0.9951875
GB,TPE,31,0.9951875
GB,TPE,32,0.9951875
GB,TPE,33,0.9957708333333332
GB,TPE,34,0.9957708333333332
GB,TPE,35,0.9957708333333332
GB,TPE,36,0.9957708333333332
GB,TPE,37,0.9957708333333332
GB,TPE,38,0.9957708333333332
GB,TPE,39,0.9957708333333332
GB,TPE,40,0.9957708333333332
GB,TPE,41,0.9957708333333332
GB,TPE,42,0.9957708333333332
GB,TPE,43,0.9957708333333332
GB,TPE,44,0.9957708333333332
GB,TPE,45,0.9957708333333332
GB,TPE,46,0.9957708333333332
GB,TPE,47,0.9957708333333332
GB,TPE,48,0.9961875
GB,TPE,49,0.9961875
GB,TPE,50,0.9961875
GB,GWO,1,0.987875
GB,GWO,2,0.987875
GB,GWO,3,0.9893958333333334
GB,GWO,4,0.9893958333333334
GB,GWO,5,0.9893958333333334
GB,GWO,6,0.9893958333333334
GB,GWO,7,0.9893958333333334
GB,GWO,8,0.9925416666666668
GB,GWO,9,0.9950624999999998
GB,GWO,10,0.9950624999999998
GB,GWO,11,0.9950624999999998
GB,GWO,12,0.9950624999999998
GB,GWO,13,0.9950624999999998
GB,GWO,14,0.9950624999999998
GB,GWO,15,0.9950624999999998
GB,GWO,16,0.9950624999999998
GB,GWO,17,0.9950624999999998
GB,GWO,18,0.9950624999999998
GB,GWO,19,0.9950624999999998
GB,GWO,20,0.9950624999999998
GB,GWO,21,0.9950624999999998
GB,GWO,22,0.9950624999999998
GB,GWO,23,0.9950624999999998
GB,GWO,24,0.9953958333333331
GB,GWO,25,0.9953958333333331
GB,GWO,26,0.9953958333333331
GB,GWO,27,0.9953958333333331
GB,GWO,28,0.9953958333333331
GB,GWO,29,0.9953958333333331
GB,GWO,30,0.9953958333333331
GB,GWO,31,0.9953958333333331
GB,GWO,32,0.9962708333333332
GB,GWO,33,0.9962708333333332
GB,GWO,34,0.9962708333333332
GB,GWO,35,0.9962708333333332
GB,GWO,36,0.9962708333333332
GB,GWO,37,0.9962708333333332
GB,GWO,38,0.9962708333333332
GB,GWO,39,0.9962708333333332
GB,GWO,40,0.9962708333333332
GB,GWO,41,0.9962708333333332
GB,GWO,42,0.9965416666666668
GB,GWO,43,0.9965416666666668
GB,GWO,44,0.9965416666666668
GB,GWO,45,0.9965416666666668
GB,GWO,46,0.9965416666666668
GB,GWO,47,0.9965416666666668
GB,GWO,48,0.9965416666666668
GB,GWO,49,0.9965416666666668
GB,GWO,50,0.9965416666666668
KNN,TPE,1,0.9407291666666666
KNN,TPE,2,0.9407291666666666
KNN,TPE,3,0.9407291666666666
KNN,TPE,4,0.9407291666666666
KNN,TPE,5,0.945875
KNN,TPE,6,0.945875
KNN,TPE,7,0.945875
KNN,TPE,8,0.945875
KNN,TPE,9,0.9481041666666666
KNN,TPE,10,0.9481041666666666
KNN,TPE,11,0.9481041666666666
KNN,TPE,12,0.9481041666666666
KNN,TPE,13,0.9481041666666666
KNN,TPE,14,0.9481041666666666
KNN,TPE,15,0.9481041666666666
KNN,TPE,16,0.9481041666666666
KNN,TPE,17,0.9481041666666666
KNN,TPE,18,0.9481041666666666
KNN,TPE,19,0.9481041666666666
KNN,TPE,20,0.9481041666666666
KNN,TPE,21,0.9481041666666666
KNN,TPE,22,0.9481041666666666
KNN,TPE,23,0.9481041666666666
KNN,TPE,24,0.9481041666666666
KNN,TPE,25,0.9481041666666666
KNN,TPE,26,0.9481041666666666
KNN,TPE,27,0.9481041666666666
KNN,TPE,28,0.9481041666666666
KNN,TPE,29,0.9481041666666666
KNN,TPE,30,0.9481041666666666
KNN,TPE,31,0.9481041666666666
KNN,TPE,32,0.9481041666666666
KNN,TPE,33,0.9481041666666666
KNN,TPE,34,0.9481041666666666
KNN,TPE,35,0.9481041666666666
KNN,TPE,36,0.9481041666666666
KNN,TPE,37,0.9481041666666666
KNN,TPE,38,0.9481041666666666
