Model,Inference_Time_Sec,TPE_Total_Time_Sec,TPE_Mean_Trial_Time_ms,TPE_Num_Trials,GWO_Total_Time_Sec,GWO_Mean_Iteration_Time_ms,GWO_Num_Iterations,GWO_vs_TPE_Speedup
AdaBoost,0.0325836999982129,3284.665454399656,65693.30908799311,50,3387.783367800119,67755.66735600238,50,0.9695618337404427
CB,0.0491855999862309,1744.9439650999266,34898.87930199853,50,1089.9194708000286,21798.38941600057,50,1.6009843037477745
GB,0.0180517999979201,13782.881049499934,275657.6209899987,50,14471.77673009981,289435.5346019962,50,0.9523972976195078
KNN,1.3226006999902893,759.7860003999376,15195.720007998752,50,1352.6568066000473,27053.136132000946,50,0.5616990183265241
LDA,0.0004453000146895,95.15493410005,1903.0986820010003,50,71.37232500006212,1427.4465000012424,50,1.3332189206385974
LGBM,0.0247831999731715,760.9838634998596,15219.677269997192,50,629.5353927000542,12590.707854001083,50,1.208802352217288
LR,0.0008000000088941,724.8758425999549,14497.516851999098,50,353.0974382001441,7061.948764002882,50,2.0529059805556504
LinearSVC,0.0125648000102955,116.20139510027366,2324.027902005473,50,145.06854190019658,2901.370838003932,50,0.8010102919502509
NB,0.0029708000074606,86.06172800005879,1721.2345600011759,50,72.02094240003498,1440.4188480006997,50,1.1949542054314606
QDA,0.0056539000070188,86.89325820008526,1737.8651640017051,50,69.0861436999985,1381.72287399997,50,1.2577523298653466
RF,0.0383205999969504,5641.93282220012,112838.6564440024,50,11977.4135908999,239548.27181799803,50,0.47104767480741433
SGD,0.0006949999951757,123.207156999968,2464.1431399993603,50,94.67156740021892,1893.4313480043784,50,1.301416680671573
SVM,5.650245700002415,14569.2391186998,291384.78237399604,50,28857.8263436,577156.526872,50,0.5048626651650401
XGB,0.0091179000155534,533.1653187000193,10663.306374000385,50,397.5922829997726,7951.845659995452,50,1.340985078174478
