Method,Metric,Mean,Median,Std,Min,Max
Baseline,CV_Accuracy,0.9241711309523809,0.9097916666666667,0.045300264836926035,0.8430416666666666,0.9884791666666668
Baseline,Accuracy,0.9300059523809523,0.9157083333333333,0.044457310075044665,0.8475,0.99225
Baseline,F1,0.9455214945019327,0.9347372660863433,0.03479258476383975,0.8793194407807966,0.9939417627516124
Baseline,AUC,0.9774712113089065,0.98217089149737,0.021501366384049782,0.9273600815739794,0.999530814912316
Baseline,LogLoss,0.20690926705261545,0.2203422301368001,0.13467887898280478,0.0438833736488704,0.5214956694744419
TPE,CV_Accuracy,0.9399017857142857,0.9492499999999998,0.05126335063533019,0.8430416666666666,0.9979166666666668
TPE,Accuracy,0.9450059523809523,0.9520000000000001,0.04957441165463831,0.8475,0.9990833333333332
TPE,F1,0.9572094776552437,0.9626309001614453,0.03875493113954605,0.8793194407807966,0.999281843703075
TPE,AUC,0.982070114511264,0.9916714986356228,0.021311850032667532,0.9273600815739794,0.9999950387375374
TPE,LogLoss,0.17251786691618715,0.1542620780721123,0.1772712888031842,0.0050670499566231,0.6263138652670881
GWO,CV_Accuracy,0.9399955357142857,0.9503958333333331,0.051528002367154546,0.8430416666666666,0.9975208333333332
GWO,Accuracy,0.9447857142857143,0.9526666666666668,0.04968171896204072,0.8475,0.9990833333333332
GWO,F1,0.957052357155961,0.9631134748612308,0.03881961587148409,0.8793194407807966,0.9992816561091884
GWO,AUC,0.9820099597408369,0.9916584414948686,0.02131243031882845,0.9273600815739794,0.9999953995566254
GWO,LogLoss,0.17353719400022907,0.1570272473730274,0.178961640846907,0.0029695750515573,0.6339895221494634
