Fold,Jaccard,Inner_Acc,External_Acc,N_Features_Inner
1,1.0,0.9578125,0.9578125,13
2,1.0,0.9629166666666666,0.9629166666666666,13
3,1.0,0.9617708333333334,0.9617708333333334,13
4,1.0,0.9580208333333333,0.9580208333333333,13
5,1.0,0.9592708333333333,0.9592708333333333,13
6,1.0,0.961875,0.961875,13
7,1.0,0.9633333333333334,0.9633333333333334,13
8,1.0,0.9608333333333333,0.9608333333333333,13
9,1.0,0.9607291666666666,0.9607291666666666,13
10,1.0,0.9589583333333334,0.9589583333333334,13
11,1.0,0.956875,0.956875,13
12,1.0,0.9584375,0.9584375,13
13,1.0,0.9629166666666666,0.9629166666666666,13
14,1.0,0.9609375,0.9609375,13
15,1.0,0.959375,0.959375,13
16,1.0,0.9580208333333333,0.9580208333333333,13
17,1.0,0.96125,0.96125,13
18,1.0,0.95875,0.95875,13
19,1.0,0.9638541666666667,0.9638541666666667,13
20,1.0,0.9580208333333333,0.9580208333333333,13
21,1.0,0.9597916666666667,0.9597916666666667,13
22,1.0,0.9594791666666667,0.9594791666666667,13
23,1.0,0.958125,0.958125,13
24,1.0,0.9632291666666667,0.9632291666666667,13
25,1.0,0.9615625,0.9615625,13
