Best_CV_Mean,Best_Iteration,C,Model,Optimal_Scaler,algorithm,alpha,bagging_temperature,border_count,coef0,colsample_bytree,degree,depth,gamma,iterations,kernel,l1_ratio,l2_leaf_reg,learning_rate,loss,max_depth,max_features,metric,min_child_samples,min_child_weight,min_samples_leaf,min_samples_split,n_estimators,n_neighbors,num_leaves,p,penalty,reg_alpha,reg_lambda,reg_param,solver,subsample,var_smoothing,weights
0.952,8,,AdaBoost,MinMax,SAMME,,,,,,,,,,,,,1.7124002038589048,,,,,,,,,452.0,,,,,,,,,,,
0.9954791666666667,30,,CB,Raw,,,3.2186927115175505,243.0,,,,7.0,,500.0,,,10.00000000000001,0.24971710597075,,,,,,,,,,,,,,,,,,,,
0.9965416666666667,42,,GB,MinMax,,,,,,,,,,,,,,0.4053514399720666,,6.0,,,,,7.0,11.0,476.0,,,,,,,,,0.7274786418231485,,
0.9487916666666665,28,,KNN,Raw,,,,,,,,,,,,,,,,,,manhattan,,,,,,14.0,,2.0,,,,,,,,distance
0.8953125,1,,LDA,Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eigen,,,
0.9975208333333333,45,,LGBM,Raw,,,,,,0.747688370452234,,,,,,,,0.3025655755194115,,12.0,,,93.0,,,,500.0,,43.0,,,9.928129411437318e-07,9.452655680559844e-07,,,0.5699763147162881,,
0.897375,20,100.00000000000004,LR,Power,,,,,,,,,,,,,,,,,,,,,,,,,,,l2,,,,,,,
0.8970625,41,18.806911230163752,LinearSVC,Power,,,,,,,,,,,,,,,squared_hinge,,,,,,,,,,,,,,,,,,,
0.8430416666666666,1,,NB,Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.402874346669275e-08,
0.899125,38,,QDA,Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030591224607426703,,,,
0.97325,36,,RF,MinMax,,,,,,,,,,,,,,,,24.0,None,,,,1.0,6.0,309.0,,,,,,,,,,,
0.8939999999999999,35,,SGD,Power,,5.1559820990559755e-05,,,,,,,,,,0.302289130069287,,,log_loss,,,,,,,,,,,,elasticnet,,,,,,,
0.9944583333333334,33,999.9999999999998,SVM,Standard,,,,,1.0,,3.0,,scale,,poly,,,,,,,,,,,,,,,,,,,,,,,
0.9904999999999999,50,,XGB,Power,,,,,,0.5612242790083707,,,0.04608729632178034,,,,,0.30916925950491886,,10.0,,,,5.0,,,301.0,,,,,4.7921584180291e-05,0.00024213870527171332,,,0.9460717290716214,,
