Model,Iteration,Best_Score_So_Far
AdaBoost,1,0.8785208333333333
AdaBoost,2,0.8785208333333333
AdaBoost,3,0.8948541666666667
AdaBoost,4,0.8948541666666667
AdaBoost,5,0.9184583333333333
AdaBoost,6,0.9184583333333333
AdaBoost,7,0.9184583333333333
AdaBoost,8,0.952
AdaBoost,9,0.952
AdaBoost,10,0.952
AdaBoost,11,0.952
AdaBoost,12,0.952
AdaBoost,13,0.952
AdaBoost,14,0.952
AdaBoost,15,0.952
AdaBoost,16,0.952
AdaBoost,17,0.952
AdaBoost,18,0.952
AdaBoost,19,0.952
AdaBoost,20,0.952
AdaBoost,21,0.952
AdaBoost,22,0.952
AdaBoost,23,0.952
AdaBoost,24,0.952
AdaBoost,25,0.952
AdaBoost,26,0.952
AdaBoost,27,0.952
AdaBoost,28,0.952
AdaBoost,29,0.952
AdaBoost,30,0.952
AdaBoost,31,0.952
AdaBoost,32,0.952
AdaBoost,33,0.952
AdaBoost,34,0.952
AdaBoost,35,0.952
AdaBoost,36,0.952
AdaBoost,37,0.952
AdaBoost,38,0.952
AdaBoost,39,0.952
AdaBoost,40,0.952
AdaBoost,41,0.952
AdaBoost,42,0.952
AdaBoost,43,0.952
AdaBoost,44,0.952
AdaBoost,45,0.952
AdaBoost,46,0.952
AdaBoost,47,0.952
AdaBoost,48,0.952
AdaBoost,49,0.952
AdaBoost,50,0.952
CB,1,0.9789583333333333
CB,2,0.9851041666666667
CB,3,0.9851041666666667
CB,4,0.9921875
CB,5,0.9921875
CB,6,0.9921875
CB,7,0.9921875
CB,8,0.9921875
CB,9,0.9921875
CB,10,0.9921875
CB,11,0.9921875
CB,12,0.9921875
CB,13,0.9921875
CB,14,0.9921875
CB,15,0.9948750000000001
CB,16,0.9948750000000001
CB,17,0.9948750000000001
CB,18,0.9948750000000001
CB,19,0.9948750000000001
CB,20,0.9948750000000001
CB,21,0.9948750000000001
CB,22,0.9948750000000001
CB,23,0.9948750000000001
CB,24,0.9948750000000001
CB,25,0.9948750000000001
CB,26,0.9948750000000001
CB,27,0.9948750000000001
CB,28,0.9948750000000001
CB,29,0.9948750000000001
CB,30,0.9954791666666667
CB,31,0.9954791666666667
CB,32,0.9954791666666667
CB,33,0.9954791666666667
CB,34,0.9954791666666667
CB,35,0.9954791666666667
CB,36,0.9954791666666667
CB,37,0.9954791666666667
CB,38,0.9954791666666667
CB,39,0.9954791666666667
CB,40,0.9954791666666667
CB,41,0.9954791666666667
CB,42,0.9954791666666667
CB,43,0.9954791666666667
CB,44,0.9954791666666667
CB,45,0.9954791666666667
CB,46,0.9954791666666667
CB,47,0.9954791666666667
CB,48,0.9954791666666667
CB,49,0.9954791666666667
CB,50,0.9954791666666667
GB,1,0.9878750000000001
GB,2,0.9878750000000001
GB,3,0.9893958333333334
GB,4,0.9893958333333334
GB,5,0.9893958333333334
GB,6,0.9893958333333334
GB,7,0.9893958333333334
GB,8,0.9925416666666667
GB,9,0.9950624999999998
GB,10,0.9950624999999998
GB,11,0.9950624999999998
GB,12,0.9950624999999998
GB,13,0.9950624999999998
GB,14,0.9950624999999998
GB,15,0.9950624999999998
GB,16,0.9950624999999998
GB,17,0.9950624999999998
GB,18,0.9950624999999998
GB,19,0.9950624999999998
GB,20,0.9950624999999998
GB,21,0.9950624999999998
GB,22,0.9950624999999998
GB,23,0.9950624999999998
GB,24,0.9953958333333333
GB,25,0.9953958333333333
GB,26,0.9953958333333333
GB,27,0.9953958333333333
GB,28,0.9953958333333333
GB,29,0.9953958333333333
GB,30,0.9953958333333333
GB,31,0.9953958333333333
GB,32,0.9962708333333333
GB,33,0.9962708333333333
GB,34,0.9962708333333333
GB,35,0.9962708333333333
GB,36,0.9962708333333333
GB,37,0.9962708333333333
GB,38,0.9962708333333333
GB,39,0.9962708333333333
GB,40,0.9962708333333333
