Model,Optimal_Scaler,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Mean,Std
AdaBoost,MinMax,0.9521875,0.9521875,0.9523958333333333,0.9507291666666666,0.9525,0.952,0.0006468406123441815
CB,Raw,0.9960416666666667,0.9951041666666667,0.9951041666666667,0.9964583333333333,0.9946875,0.9954791666666667,0.000660781313631423
GB,MinMax,0.9965625,0.9961458333333333,0.9957291666666667,0.9973958333333334,0.996875,0.9965416666666667,0.0005758447900452318
KNN,Raw,0.9498958333333334,0.9471875,0.949375,0.9480208333333333,0.9494791666666667,0.9487916666666665,0.0010197698542100558
LDA,Power,0.8951041666666667,0.8942708333333333,0.8927083333333333,0.895,0.8994791666666667,0.8953125,0.00225250632012927
LGBM,Raw,0.9969791666666666,0.9967708333333334,0.9976041666666666,0.9982291666666666,0.9980208333333334,0.9975208333333333,0.0005682575707077254
LR,Power,0.896875,0.8960416666666666,0.894375,0.8980208333333334,0.9015625,0.897375,0.0024074897599874684
LinearSVC,Power,0.8967708333333333,0.8959375,0.8936458333333334,0.8977083333333333,0.90125,0.8970625,0.002489038468967471
NB,Power,0.8444791666666667,0.8452083333333333,0.8429166666666666,0.8429166666666666,0.8396875,0.8430416666666666,0.0018996070500091357
QDA,Power,0.8986458333333334,0.9039583333333333,0.8966666666666666,0.8977083333333333,0.8986458333333334,0.899125,0.0025247043281232833
RF,MinMax,0.9579166666666666,0.960625,0.9604166666666667,0.9576041666666667,0.9570833333333333,0.9587291666666665,0.0014883809249576488
SGD,Power,0.895625,0.8920833333333333,0.8921875,0.8945833333333333,0.8955208333333333,0.8939999999999999,0.0015654139495140885
SVM,Standard,0.9953125,0.9938541666666667,0.9941666666666666,0.99375,0.9952083333333334,0.9944583333333334,0.0006699139662839051
XGB,Power,0.9903125,0.9904166666666666,0.9901041666666667,0.9904166666666666,0.99125,0.9904999999999999,0.00039197682754637695
