Model,Number_of_Iterations,Total_Optimization_Time_Sec,Mean_Iteration_Time_Sec
AdaBoost,50,3387.783367800119,67.75566735600238
CB,50,1089.9194708000286,21.798389416000575
GB,50,14471.77673009981,289.4355346019962
KNN,50,1352.6568066000473,27.053136132000944
LDA,50,71.37232500006212,1.4274465000012424
LGBM,50,629.5353927000542,12.590707854001085
LR,50,353.0974382001441,7.0619487640028815
LinearSVC,50,145.06854190019658,2.9013708380039316
NB,50,72.02094240003498,1.4404188480006996
QDA,50,69.0861436999985,1.38172287399997
RF,50,11977.413590899901,239.54827181799803
SGD,50,94.67156740021892,1.8934313480043783
SVM,50,28857.826343599998,577.156526872
XGB,50,397.5922829997726,7.951845659995452
