Model,Optimal_Scaler,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Mean,Std
CB,Raw,0.9885416666666667,0.986875,0.9876041666666666,0.9897916666666666,0.9895833333333334,0.9884791666666667,0.001121135337256163
XGB,Power,0.9842708333333333,0.9876041666666666,0.9871875,0.986875,0.9851041666666667,0.9862083333333332,0.0012903218806001558
SVM,Standard,0.9784375,0.9772916666666667,0.9789583333333334,0.9815625,0.9788541666666667,0.9790208333333332,0.00140157401596285
LGBM,Raw,0.9645833333333333,0.966875,0.9696875,0.9696875,0.9679166666666666,0.96775,0.0019146275384813445
RF,MinMax,0.9579166666666666,0.9629166666666666,0.9617708333333334,0.9580208333333333,0.9592708333333333,0.9599791666666666,0.002021370203599536
KNN,Raw,0.93125,0.9294791666666666,0.9372916666666666,0.9333333333333333,0.9319791666666667,0.9326666666666666,0.0026258265894338385
GB,MinMax,0.918125,0.9266666666666666,0.9251041666666666,0.9255208333333333,0.9175,0.9225833333333334,0.003933805586056446
LinearSVC,Power,0.8966666666666666,0.8958333333333334,0.8933333333333333,0.8977083333333333,0.9014583333333334,0.8969999999999999,0.002656883094488323
LDA,Power,0.8951041666666667,0.8942708333333333,0.8927083333333333,0.895,0.8994791666666667,0.8953125,0.00225250632012927
LR,Power,0.8923958333333334,0.8961458333333333,0.8908333333333334,0.8963541666666667,0.8996875,0.8950833333333333,0.0031377517605940307
QDA,Power,0.8946875,0.8935416666666667,0.8896875,0.8909375,0.8933333333333333,0.8924375,0.0018382982015379761
SGD,Power,0.8903125,0.8940625,0.8882291666666666,0.8902083333333334,0.8935416666666667,0.8912708333333332,0.0022022321378294633
AdaBoost,MinMax,0.8903125,0.8960416666666666,0.8746875,0.8891666666666667,0.8876041666666666,0.8875624999999999,0.007039878964395153
NB,Power,0.8444791666666667,0.8452083333333333,0.8429166666666666,0.8429166666666666,0.8396875,0.8430416666666666,0.0018996070500091357
