Scaler,Model,Metric,Mean,Std
Raw,LR,accuracy,0.8567083333333334,0.0026951602714660444
Raw,LR,f1,0.8882024715486766,0.002104925526756451
Raw,LR,precision,0.8842675160245055,0.0023770060115873427
Raw,LR,recall,0.892176062064277,0.002503401052301817
Raw,LR,roc_auc,0.9362624705539437,0.0016197887207825062
Raw,LR,matthews_corrcoef,0.688781693526785,0.005870576813332804
Raw,LDA,accuracy,0.8554999999999999,0.0021963116177405716
Raw,LDA,f1,0.8859126839471634,0.0017648349653460824
Raw,LDA,precision,0.8925611547064026,0.0027677339054022355
Raw,LDA,recall,0.8793756195097242,0.0032129022116366207
Raw,LDA,roc_auc,0.9342051922450741,0.0017888006341795345
Raw,LDA,matthews_corrcoef,0.6890793278955348,0.0047824122349033075
Raw,QDA,accuracy,0.79425,0.028058749130668283
Raw,QDA,f1,0.8155539455458497,0.03216504451882538
Raw,QDA,precision,0.9468393309983505,0.008145895483603048
Raw,QDA,recall,0.7183593969527721,0.05293926853877384
Raw,QDA,roc_auc,0.9241921564912727,0.0015736335520735421
Raw,QDA,matthews_corrcoef,0.6233786403348571,0.033335694129670246
Raw,NB,accuracy,0.8308958333333333,0.0027231963959859834
Raw,NB,f1,0.8653384765334187,0.002578563596530668
Raw,NB,precision,0.8794819909031986,0.0032495312162746713
Raw,NB,recall,0.8516849598101814,0.006261731231171983
Raw,NB,roc_auc,0.904689517285922,0.002009189139161819
Raw,NB,matthews_corrcoef,0.6389118622475427,0.005145349313618999
Raw,KNN,accuracy,0.9326666666666666,0.0026258265894338385
Raw,KNN,f1,0.9474355933415393,0.0020405812585041778
Raw,KNN,precision,0.9437840491076404,0.002352460635713057
Raw,KNN,recall,0.9511167304282916,0.001983473907616504
Raw,KNN,roc_auc,0.978740682169642,0.0004466313205542034
Raw,KNN,matthews_corrcoef,0.8538465583893242,0.005718461217177026
Raw,LinearSVC,accuracy,0.8564375,0.0026885495366667806
Raw,LinearSVC,f1,0.8878871123203854,0.0021118662370328656
Raw,LinearSVC,precision,0.8847663090160826,0.0022937163381488257
Raw,LinearSVC,recall,0.8910331569335768,0.002539810538196733
Raw,LinearSVC,roc_auc,0.9362703062491058,0.0016268915487639834
Raw,LinearSVC,matthews_corrcoef,0.6883953974985509,0.005830951444758573
Raw,SVM,accuracy,0.9727083333333333,0.0015756392000990742
Raw,SVM,f1,0.9786715911057147,0.0012167606738970227
Raw,SVM,precision,0.9759735968073142,0.002078498932267504
Raw,SVM,recall,0.9813871845799065,0.0010872921058877171
Raw,SVM,roc_auc,0.9967419119006863,0.00027275860068817434
Raw,SVM,matthews_corrcoef,0.9408213385264906,0.0034346789257961767
Raw,AdaBoost,accuracy,0.8875624999999999,0.007039878964395153
Raw,AdaBoost,f1,0.9128026047079606,0.005773642264053663
Raw,AdaBoost,precision,0.9031834080160278,0.00394388420632278
Raw,AdaBoost,recall,0.922675007664725,0.009746743103313627
Raw,AdaBoost,roc_auc,0.9575827023519174,0.004560711191076148
Raw,AdaBoost,matthews_corrcoef,0.7550248681356346,0.014947599858804443
Raw,RF,accuracy,0.9599583333333334,0.0020429417786885546
Raw,RF,f1,0.9689026553259374,0.0015870718860894765
Raw,RF,precision,0.9602367734335304,0.0020247832981408346
Raw,RF,recall,0.9777298444394088,0.002062006373630518
Raw,RF,roc_auc,0.9941255591799807,0.0004150689514703947
Raw,RF,matthews_corrcoef,0.9130066465385202,0.0044570246203995256
Raw,GB,accuracy,0.9225833333333334,0.003933805586056446
Raw,GB,f1,0.9402923736869262,0.0030955009663750834
Raw,GB,precision,0.9255517999574933,0.0031802704774192155
Raw,GB,recall,0.9555249843373013,0.00482275250510954
Raw,GB,roc_auc,0.9810733404458649,0.0008112851127582526
Raw,GB,matthews_corrcoef,0.8311920306045494,0.008601545348027649
Raw,XGB,accuracy,0.9859166666666667,0.0011361331837029618
Raw,XGB,f1,0.9889955943966597,0.0008832626998242053
Raw,XGB,precision,0.9861074034957362,0.0014214451880888493
Raw,XGB,recall,0.9919017848811634,0.0007344216003465188
Raw,XGB,roc_auc,0.9990283621250315,0.00011491478864535892
Raw,XGB,matthews_corrcoef,0.9694755977045466,0.0024641782658882654
Raw,LGBM,accuracy,0.96775,0.0019146275384813445
Raw,LGBM,f1,0.9748737687001748,0.0014847625827734924
Raw,LGBM,precision,0.9692113924355921,0.0018366577713105677
Raw,LGBM,recall,0.9806033991388847,0.001296258538765482
Raw,LGBM,roc_auc,0.9961654019293411,0.0003520074755230471
Raw,LGBM,matthews_corrcoef,0.9299913587284973,0.004164872521120156
Raw,CB,accuracy,0.9884791666666667,0.001121135337256163
