Model,Scaler,Mean,Std,Min,Max
LR,Raw,0.8567083333333334,0.0026951602714660444,0.8516666666666667,0.8595833333333334
LDA,Raw,0.8554999999999999,0.0021963116177405716,0.853125,0.8592708333333333
QDA,Raw,0.79425,0.028058749130668283,0.7486458333333333,0.8204166666666667
NB,Raw,0.8308958333333333,0.0027231963959859834,0.8265625,0.8341666666666666
KNN,Raw,0.9326666666666666,0.0026258265894338385,0.9294791666666666,0.9372916666666666
LinearSVC,Raw,0.8564375,0.0026885495366667806,0.8514583333333333,0.8594791666666667
SVM,Raw,0.9727083333333333,0.0015756392000990742,0.9709375,0.9751041666666667
AdaBoost,Raw,0.8875624999999999,0.007039878964395153,0.8746875,0.8960416666666666
RF,Raw,0.9599583333333334,0.0020429417786885546,0.9578125,0.9629166666666666
GB,Raw,0.9225833333333334,0.003933805586056446,0.9175,0.9266666666666666
XGB,Raw,0.9859166666666667,0.0011361331837029618,0.9845833333333334,0.9876041666666666
LGBM,Raw,0.96775,0.0019146275384813445,0.9645833333333333,0.9696875
CB,Raw,0.9884791666666667,0.001121135337256163,0.986875,0.9897916666666666
SGD,Raw,0.8489791666666665,0.009477541069403092,0.8308333333333333,0.8585416666666666
LR,Standard,0.8565625000000001,0.0027139365115803507,0.8513541666666666,0.8592708333333333
LDA,Standard,0.8554999999999999,0.0021963116177405716,0.853125,0.8592708333333333
QDA,Standard,0.8466875,0.013867459162049511,0.8238541666666667,0.859375
NB,Standard,0.8308958333333333,0.0027231963959859834,0.8265625,0.8341666666666666
KNN,Standard,0.9229375,0.0014796067420470426,0.920625,0.924375
LinearSVC,Standard,0.8563541666666665,0.0026833786228062113,0.85125,0.8590625
SVM,Standard,0.9790208333333332,0.00140157401596285,0.9772916666666667,0.9815625
AdaBoost,Standard,0.8875624999999999,0.007039878964395153,0.8746875,0.8960416666666666
RF,Standard,0.9599583333333334,0.0020429417786885546,0.9578125,0.9629166666666666
GB,Standard,0.9225833333333334,0.003933805586056446,0.9175,0.9266666666666666
XGB,Standard,0.9861041666666667,0.0014532650022162526,0.98375,0.9876041666666666
LGBM,Standard,0.9674375000000002,0.0015046225071056697,0.965,0.9695833333333334
CB,Standard,0.9883750000000001,0.0007643306803268504,0.9875,0.9895833333333334
SGD,Standard,0.8532500000000001,0.0029918871785026956,0.8494791666666667,0.8569791666666666
LR,MinMax,0.8573541666666665,0.002267486065129302,0.8534375,0.8605208333333333
LDA,MinMax,0.8554999999999999,0.0021963116177405716,0.853125,0.8592708333333333
QDA,MinMax,0.8385833333333335,0.008144101478302463,0.8254166666666667,0.845625
NB,MinMax,0.8308958333333333,0.0027231963959859834,0.8265625,0.8341666666666666
KNN,MinMax,0.9271041666666667,0.0020019521722558745,0.9245833333333333,0.9292708333333334
LinearSVC,MinMax,0.8565624999999999,0.002487817539754671,0.851875,0.8590625
SVM,MinMax,0.978125,0.0016509677296798818,0.976875,0.98125
AdaBoost,MinMax,0.8875624999999999,0.007039878964395153,0.8746875,0.8960416666666666
RF,MinMax,0.9599791666666666,0.002021370203599536,0.9579166666666666,0.9629166666666666
GB,MinMax,0.9225833333333334,0.003933805586056446,0.9175,0.9266666666666666
XGB,MinMax,0.9853125,0.00108253175473054,0.98375,0.9865625
LGBM,MinMax,0.9676874999999999,0.0014796067420470645,0.96625,0.9705208333333334
CB,MinMax,0.9882291666666667,0.0011257713405088553,0.9866666666666667,0.9895833333333334
SGD,MinMax,0.8537708333333335,0.0032738176406825682,0.8502083333333333,0.8592708333333333
LR,Robust,0.8565416666666665,0.0026429610393563373,0.8514583333333333,0.8591666666666666
LDA,Robust,0.8554999999999999,0.0021963116177405716,0.853125,0.8592708333333333
