Model,Optimal_Scaler,CV_Mean,CV_Std
AdaBoost,Raw,0.8875624999999999,0.007039878964395153
CB,MinMax,0.9392708333333333,0.0017065539513560516
GB,Raw,0.9225833333333334,0.003933805586056446
KNN,Raw,0.9326666666666666,0.0026258265894338385
LDA,Power,0.8953125,0.00225250632012927
LGBM,Raw,0.96775,0.0019146275384813445
LR,Power,0.8952708333333333,0.003144798394880718
LinearSVC,Power,0.8969999999999999,0.002656883094488323
NB,Power,0.8430416666666666,0.0018996070500091357
QDA,Power,0.8924375,0.0018382982015379761
RF,MinMax,0.9599791666666666,0.002021370203599536
SGD,Power,0.8912708333333332,0.0022022321378294633
SVM,Standard,0.9790208333333332,0.00140157401596285
XGB,MinMax,0.9690208333333334,0.0028386897897132303
