Model,Scaler,Mean,Std,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5
LR,Power,0.8952708333333333,0.003144798394880718,0.8926041666666666,0.8966666666666666,0.8909375,0.8963541666666667,0.8997916666666667
LR,MinMax,0.85725,0.0022855980253170807,0.8567708333333334,0.8605208333333333,0.8575,0.8580208333333333,0.8534375
LR,Raw,0.8567291666666668,0.0026733315149619777,0.8573958333333334,0.8596875,0.8566666666666667,0.858125,0.8517708333333334
LR,Standard,0.8565416666666668,0.0027102557279915754,0.8569791666666666,0.8592708333333333,0.8572916666666667,0.8578125,0.8513541666666666
LR,Robust,0.8565208333333333,0.002638194353046116,0.8570833333333333,0.8591666666666666,0.8571875,0.8577083333333333,0.8514583333333333
LR,Quantile,0.8518333333333334,0.002600914636131769,0.8472916666666667,0.8526041666666667,0.8510416666666667,0.8532291666666667,0.855
LDA,Power,0.8953125,0.00225250632012927,0.8951041666666667,0.8942708333333333,0.8927083333333333,0.895,0.8994791666666667
LDA,Raw,0.8554999999999999,0.0021963116177405716,0.8554166666666667,0.8592708333333333,0.8561458333333334,0.853125,0.8535416666666666
LDA,Standard,0.8554999999999999,0.0021963116177405716,0.8554166666666667,0.8592708333333333,0.8561458333333334,0.853125,0.8535416666666666
LDA,MinMax,0.8554999999999999,0.0021963116177405716,0.8554166666666667,0.8592708333333333,0.8561458333333334,0.853125,0.8535416666666666
LDA,Robust,0.8554999999999999,0.0021963116177405716,0.8554166666666667,0.8592708333333333,0.8561458333333334,0.853125,0.8535416666666666
LDA,Quantile,0.853,0.00239574275191083,0.8492708333333333,0.853125,0.8515625,0.8555208333333333,0.8555208333333333
QDA,Power,0.8924375,0.0018382982015379761,0.8946875,0.8935416666666667,0.8896875,0.8909375,0.8933333333333333
QDA,Quantile,0.8789999999999999,0.001979276312752288,0.8770833333333333,0.8776041666666666,0.8816666666666667,0.8811458333333333,0.8775
QDA,Standard,0.8492083333333333,0.014635857792877514,0.8644791666666667,0.8342708333333333,0.8591666666666666,0.8288541666666667,0.8592708333333333
QDA,Robust,0.8403541666666667,0.01860133190422425,0.8390625,0.8060416666666667,0.8489583333333334,0.8613541666666666,0.8463541666666666
QDA,MinMax,0.8381666666666667,0.011063578886498601,0.8455208333333334,0.8453125,0.8169791666666667,0.8372916666666667,0.8457291666666666
QDA,Raw,0.7928333333333334,0.02662499999999998,0.8138541666666667,0.7754166666666666,0.8180208333333333,0.7488541666666667,0.8080208333333333
NB,Power,0.8430416666666666,0.0018996070500091357,0.8444791666666667,0.8452083333333333,0.8429166666666666,0.8429166666666666,0.8396875
NB,Quantile,0.8398333333333333,0.0025229846192335106,0.83875,0.8425,0.8413541666666666,0.8411458333333334,0.8354166666666667
NB,Raw,0.8308958333333333,0.0027231963959859834,0.8325,0.8341666666666666,0.8321875,0.8290625,0.8265625
NB,Standard,0.8308958333333333,0.0027231963959859834,0.8325,0.8341666666666666,0.8321875,0.8290625,0.8265625
NB,MinMax,0.8308958333333333,0.0027231963959859834,0.8325,0.8341666666666666,0.8321875,0.8290625,0.8265625
NB,Robust,0.8308958333333333,0.0027231963959859834,0.8325,0.8341666666666666,0.8321875,0.8290625,0.8265625
KNN,Raw,0.9326666666666666,0.0026258265894338385,0.93125,0.9294791666666666,0.9372916666666666,0.9333333333333333,0.9319791666666667
KNN,MinMax,0.9271041666666667,0.0020019521722558745,0.9245833333333333,0.9292708333333334,0.9286458333333333,0.9282291666666667,0.9247916666666667
KNN,Standard,0.9229375,0.0014796067420470426,0.920625,0.92375,0.924375,0.9217708333333333,0.9241666666666667
KNN,Robust,0.9217916666666668,0.0014514719540291887,0.9192708333333334,0.9227083333333334,0.9229166666666667,0.9210416666666666,0.9230208333333333
KNN,Quantile,0.9209166666666666,0.0023912093058627345,0.9165625,0.9203125,0.9233333333333333,0.9225,0.921875
KNN,Power,0.9203541666666666,0.0012852664012655672,0.9179166666666667,0.9211458333333333,0.9215625,0.9203125,0.9208333333333333
LinearSVC,Power,0.8969999999999999,0.002656883094488323,0.8966666666666666,0.8958333333333334,0.8933333333333333,0.8977083333333333,0.9014583333333334
LinearSVC,MinMax,0.8565624999999999,0.002487817539754671,0.8570833333333333,0.8590625,0.8566666666666667,0.858125,0.851875
LinearSVC,Raw,0.8564375,0.0026885495366667806,0.856875,0.8594791666666667,0.8565625,0.8578125,0.8514583333333333
