Method,Model,Optimal_Scaler,Split,Accuracy,Precision,Recall,F1,Kappa,MCC,AUC,LogLoss,Accuracy_CI_Lower,Accuracy_CI_Upper,Precision_CI_Lower,Precision_CI_Upper,Recall_CI_Lower,Recall_CI_Upper,F1_CI_Lower,F1_CI_Upper,AUC_CI_Lower,AUC_CI_Upper,LogLoss_CI_Lower,LogLoss_CI_Upper,Kappa_CI_Lower,Kappa_CI_Upper,MCC_CI_Lower,MCC_CI_Upper
Baseline,AdaBoost,Raw,Train_OOF,0.8875625,0.9031804379095413,0.922675026123302,0.9128236605340095,0.754562892747122,0.7549040372860286,0.9573783579628442,0.5310716413540543,0.8847291666666667,0.890625,0.8999519260105414,0.9065172570211775,0.9197327520845092,0.9257678833222527,0.9104879568832462,0.9152663642129606,0.9557523237383786,0.9590503980755004,0.5298901721665069,0.5321808521467156,0.7481652475332907,0.7612841596668795,0.7485301534462697,0.7615788994533556
Baseline,CB,MinMax,Train_OOF,0.9392708333333334,0.9431596455874356,0.9628396029258098,0.952898023817603,0.8674723619634859,0.8678386630245944,0.9872769626874576,0.17764656772041537,0.937,0.9414375,0.940605789024912,0.9458323900800476,0.9607567388993978,0.9649329256206013,0.9511465835052139,0.9546028209447383,0.9865699559153001,0.9879543392605571,0.17508918119790132,0.18015312408285358,0.8626286024894975,0.8722338259294371,0.8630682036064075,0.8725530293015219
Baseline,GB,Raw,Train_OOF,0.9225833333333333,0.925544028340081,0.955525078369906,0.9402956298200514,0.8303040133740165,0.8311572928200163,0.9810572572084437,0.2089726480065621,0.9201666666666667,0.9251046875,0.9226043719029253,0.9285128894310958,0.9532186554255364,0.957763182853643,0.9383303010812405,0.9423300094739273,0.9801428467642046,0.981976016292394,0.20612570456289317,0.21173090916651569,0.8251167016055898,0.8357920976125188,0.8260271645241143,0.8366107232570482
Baseline,KNN,Raw,Train_OOF,0.9326666666666666,0.9437819972782062,0.9511167711598746,0.9474351884981947,0.8537959316908537,0.8538454187866563,0.978741955350502,0.2728494608459119,0.9304375,0.9349166666666666,0.9410901733429692,0.946461139371958,0.9486671087184503,0.9535058737309853,0.9456348851894688,0.9492502446205087,0.9775729412628588,0.9798924762775267,0.25639870343148574,0.29056292682704893,0.848892542525866,0.8586394404421716,0.8489383739677935,0.8586863971971712
Baseline,LDA,Power,Train_OOF,0.8953125,0.9139419811778403,0.9228056426332288,0.9183524250548379,0.7725194845549558,0.772589318649404,0.9649807635316779,0.23986684438664838,0.8925208333333333,0.8980421875,0.9108537407629868,0.9172211097474323,0.91979345738437,0.9258199366759504,0.9160539615732584,0.9205089435630373,0.9636863277775461,0.9663185905762697,0.23639391910058066,0.2432859054004031,0.7666047884566957,0.7784467424778696,0.7666590697734121,0.7785408312871288
Baseline,LGBM,Raw,Train_OOF,0.96775,0.9692099147947327,0.9806034482758621,0.9748733930658356,0.929867215260894,0.9299909190075158,0.996164619003307,0.11099669974548317,0.9661041666666667,0.9693958333333333,0.9672039968794764,0.9712042956136393,0.9790460971033688,0.9821656394785363,0.9735971876943705,0.9761757358405714,0.9958620473543788,0.9964565878472789,0.10894472888920902,0.11299367422171738,0.9263065410399562,0.9334234764412606,0.9264503172883771,0.9335415651291831
Baseline,LR,Power,Train_OOF,0.8952708333333333,0.9126817786089705,0.924275078369906,0.9184418449957006,0.7721670534433458,0.772287085435473,0.9655068603134604,0.22816943246433402,0.8926244791666667,0.8981046875,0.9095759431883605,0.9160093338485288,0.9213011144799217,0.9273403218022954,0.9161860174330719,0.9207974063848785,0.9642250498294018,0.9668920400946914,0.22392029240409728,0.23212986253712636,0.7663833567354217,0.7784110912364347,0.7664957090608354,0.778524887425595
Baseline,LinearSVC,Power,Train_OOF,0.897,0.91389981303591,0.9257771682340648,0.9198001492392045,0.7759035384396141,0.7760298266984332,0.965988585743725,,0.8942916666666667,0.8997708333333333,0.9107070978772354,0.9171414796577477,0.9227575500094121,0.9287641518665132,0.917537611648871,0.922052793142497,0.9647250268922902,0.9673268233999711,,,0.7700207961335092,0.7820283035218305,0.7701556736110127,0.7821419867391529
Baseline,NB,Power,Train_OOF,0.8430416666666667,0.8855530323270104,0.8658894984326019,0.8756108836349227,0.6630508362994162,0.6633576774327674,0.9237430656584902,0.3622468718972347,0.8397703125,0.8464802083333334,0.8818179310575412,0.8893036699770694,0.8621578381103181,0.8698753511493625,0.8728669947788789,0.8785827485195137,0.9215128072596567,0.9261085967523089,0.35506179630869417,0.3691350568376666,0.6561419651024607,0.6704325333762035,0.656403060104661,0.6706809279537064
Baseline,QDA,Power,Train_OOF,0.8924375,0.905675408686785,0.9280629571577848,0.9167325215708411,0.7649211550198144,0.7653759215011434,0.9618030279426721,0.26386132986318517,0.8895416666666667,0.8952083333333334,0.9023124249853849,0.90895933055892,0.9252413333501373,0.9309604883306598,0.9144014002838723,0.9190151563127339,0.9603303917158047,0.9632530307289121,0.25717088541670485,0.2707913339417936,0.7587823059385821,0.7710039918559074,0.7592946939634911,0.7714240600255874
Baseline,RF,MinMax,Train_OOF,0.9599791666666667,0.9603233152644578,0.9776645768025078,0.9689163605766897,0.9127577506631955,0.9130457425673694,0.9941200291833485,0.15361506711159761,0.9581036458333333,0.96175,0.958084327787356,0.962517699629994,0.9759952529639853,0.9793053173745699,0.9674592483143529,0.9703190354342767,0.9936855018545261,0.9945121597897103,0.15150489160787745,0.15576287285700482,0.9086546254455875,0.9165634148659743,0.9089498517342832,0.9168332789421608
Baseline,SGD,Power,Train_OOF,0.8912708333333333,0.9077718211293377,0.9233934169278997,0.9155159854309995,0.7630562412502422,0.763274740648281,0.9622391398265374,0.2385159615368293,0.8883953125,0.8942713541666667,0.9046176302804161,0.9111369527989327,0.9203695256064088,0.9264925920588712,0.9131199810082042,0.9178771354522082,0.9608770236553423,0.9637040917372545,0.23433981859730177,0.24249877458481914,0.757083143304019,0.7695620185036666,0.7572511086692253,0.769748984454106
Baseline,SVM,Standard,Train_OOF,0.9790208333333333,0.9795654004339519,0.9877220480668757,0.9836268149521161,0.9544372672205864,0.9545008005630492,0.9983757352891651,0.04989294536051472,0.97775,0.9802505208333333,0.9779229608118282,0.9810731721833874,0.9864471811166018,0.9888350472400057,0.9826323553024776,0.9846164184881733,0.9982106856744838,0.9985400357615117,0.04737664205529496,0.05236521792328967,0.951634675218169,0.957116103720896,0.9517040949163859,0.9571633497069176
Baseline,XGB,MinMax,Train_OOF,0.9690208333333333,0.9682748866960239,0.9836729362591432,0.97591317729003,0.9325236902199374,0.9327514765272538,0.9963681961396927,0.10883405892787523,0.9674583333333333,0.9705833333333334,0.9663011027249238,0.9702455568600251,0.9822505622828798,0.9850130093942964,0.9746494168778395,0.9771378484277393,0.9960722110315884,0.9966568883522086,0.10681955383410777,0.11091126004133696,0.9291123487422229,0.9359341184623727,0.9293246874142967,0.9361265391303425
