Model,Optimal_Scaler,Best_CV_Mean,Best_Iteration,n_estimators,learning_rate,max_depth,num_leaves,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,random_state,iterations,depth,l2_leaf_reg,border_count,bagging_temperature,C,penalty,solver,max_iter,reg_param,var_smoothing,loss,dual,n_neighbors,weights,metric,p,alpha,l1_ratio,min_child_weight,gamma,algorithm
AdaBoost,Raw,0.9407499999999999,8,210.0,1.7124002038589048,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,SAMME.R
CB,MinMax,0.9944375,35,,0.4999999999999999,,,,,,,,42.0,361.0,6.0,10.00000000000001,251.0,2.1929546777450093,,,,,,,,,,,,,,,,,
KNN,Raw,0.9482083333333333,47,,,,,,,,,,,,,,,,,,,,,,,,16.0,distance,manhattan,4.0,,,,,
LDA,Power,0.8953125,1,,,,,,,,,,,,,,,,,,eigen,,,,,,,,,,,,,,
LGBM,Raw,0.9974166666666664,44,500.0,0.3550025914546965,14.0,41.0,67.0,0.8826422016272077,0.8041293307229274,3.282340464814843e-07,0.0024531588421549,42.0,,,,,,,,,,,,,,,,,,,,,,
LR,Power,0.8973125,44,,,,,,,,,,42.0,,,,,,3.3395113518992785,l1,saga,2000.0,,,,,,,,,,,,,
LinearSVC,Power,0.8971250000000002,50,,,,,,,,,,42.0,,,,,,5.723708857010383,,,5000.0,,,hinge,auto,,,,,,,,,
NB,Power,0.8430416666666666,1,,,,,,,,,,,,,,,,,,,,,4.402874346669275e-08,,,,,,,,,,,
QDA,Power,0.8986458333333334,50,,,,,,,,,,,,,,,,,,,,0.0371838722405428,,,,,,,,,,,,
SGD,Power,0.8955416666666667,28,,,,,,,,,,42.0,,,,,,,l1,,2000.0,,,modified_huber,,,,,,0.0009097185752192508,0.6302027952065101,,,
XGB,MinMax,0.9936458333333335,34,427.0,0.49999999999999994,4.0,,,0.7562433198416751,0.9205406478413578,1.3748101450838413e-07,6.711895421073184e-07,42.0,,,,,,,,,,,,,,,,,,,,1.0,0.33194677292650804,
