Method,Model,Optimal_Scaler,Split,Accuracy,Precision,Recall,F1,Kappa,MCC,AUC,LogLoss,Accuracy_CI_Lower,Accuracy_CI_Upper,Precision_CI_Lower,Precision_CI_Upper,Recall_CI_Lower,Recall_CI_Upper,F1_CI_Lower,F1_CI_Upper,AUC_CI_Lower,AUC_CI_Upper,LogLoss_CI_Lower,LogLoss_CI_Upper,Kappa_CI_Lower,Kappa_CI_Upper,MCC_CI_Lower,MCC_CI_Upper
GWO,LGBM,Raw,Train_OOF,0.9974166666666666,0.9974880929079404,0.9984652560083594,0.9979764352622474,0.9944052147729764,0.9944061257343704,0.999930532929192,0.0081463057557597,0.9969583333333332,0.9978541666666668,0.996929193237642,0.9980109090164928,0.998018759673009,0.9988632717960764,0.9976051025915308,0.9983160868473684,0.9998946634305874,0.999960404199584,0.0068036082122264,0.0095869864438848,0.9933970225900048,0.9953463583218308,0.993398335685548,0.9953478723562154
GWO,CB,MinMax,Train_OOF,0.9944375,0.9947198591962452,0.99657131661442,0.9956447271837534,0.987949112215159,0.9879523816448996,0.9997730184837996,0.0265268029175209,0.9937291666666668,0.9950625,0.9938786124296454,0.9954895952675522,0.9958634414500024,0.99720036134148,0.995074146646994,0.9961349441534384,0.9997074105956284,0.999831063169684,0.0254450796496931,0.0277214216244964,0.9863973085496466,0.9893004177773108,0.9864023722382054,0.9893016582697832
GWO,LR,Power,Train_OOF,0.8973125,0.9144488531888125,0.9256465517241379,0.9200136312740373,0.7766477091368624,0.7767598629016841,0.9660127568641019,0.22645032515510446,0.8946453125,0.900125,0.9113719291246286,0.9176830311583493,0.9226252264236667,0.9286208041679789,0.9177451636126572,0.9222789649020308,0.9647460140697272,0.9673463083436391,0.22202465705347738,0.23060541069956902,0.7708267848172123,0.7827409116270709,0.7709383785964856,0.7828781578877321
GWO,LDA,Power,Train_OOF,0.8953125,0.9139419811778403,0.9228056426332288,0.9183524250548379,0.7725194845549558,0.772589318649404,0.9649807635316779,0.23986393920434793,0.8925208333333333,0.8980421875,0.9108537407629868,0.9172211097474323,0.91979345738437,0.9258199366759504,0.9160539615732584,0.9205089435630373,0.9636863277775461,0.9663185905762697,0.23639087186464772,0.24328307870172317,0.7666047884566957,0.7784467424778696,0.7666590697734121,0.7785408312871288
GWO,QDA,Power,Train_OOF,0.8986458333333334,0.8964020805761596,0.9510514629049112,0.9229184821357839,0.7753559626761205,0.7782533926965007,0.9674364080411662,0.23380155166340078,0.8959375,0.9014588541666667,0.893227601020938,0.8999950984963554,0.948805786479617,0.953436120118644,0.9207625806795247,0.9251232219581615,0.9661629527823506,0.968747168646151,0.23011075602380215,0.23740459021358903,0.7692512233625945,0.7814499775332232,0.7722536463943738,0.784118218381465
GWO,NB,Power,Train_OOF,0.8430416666666667,0.8855530323270104,0.8658894984326019,0.8756108836349227,0.6630508362994162,0.6633576774327674,0.9237430656584902,0.3622468659035288,0.8397703125,0.8464802083333334,0.8818179310575412,0.8893036699770694,0.8621578381103181,0.8698753511493625,0.8728669947788789,0.8785827485195137,0.9215128072596567,0.9261085967523089,0.3550617905786722,0.369135050610807,0.6561419651024607,0.6704325333762035,0.656403060104661,0.6706809279537064
GWO,LinearSVC,Power,Train_OOF,0.897125,0.9159271973573418,0.9235240334378265,0.9197099281324185,0.7765779892127618,0.7766292771553257,0.9659485667724588,,0.8944791666666667,0.8998963541666667,0.9128248145593008,0.9191580106352979,0.9206220388739761,0.9266560882539798,0.9174822351253865,0.9220119185385667,0.9646936163078424,0.9672759445406941,,,0.7707935493538763,0.782731693364484,0.7708446438501239,0.7827888237500357
GWO,KNN,Raw,Train_OOF,0.9482083333333333,0.9533707141015726,0.9660723615464994,0.9596795121318282,0.8873030932082298,0.8874549015069652,0.9894301599925959,0.167388497379446,0.9461036458333333,0.9501880208333333,0.9508239801974198,0.9557832214129773,0.964079067715412,0.9679948139590304,0.9580105920272003,0.9612473722141835,0.9887855375002584,0.9900497929491732,0.16326198033192718,0.17185175512472753,0.882710538317175,0.8917205662792425,0.8828957730792457,0.8918747522606926
GWO,SGD,Power,Train_OOF,0.8955416666666667,0.9128248113998324,0.9245689655172413,0.9186593556341456,0.772742023852388,0.7728652691842597,0.963259267472905,0.3261800940194164,0.8927911458333333,0.8982708333333334,0.9096110169848625,0.9160273546623359,0.9215887772376545,0.9276241890488345,0.9163924991382487,0.9209024684124482,0.9618030235283549,0.9647207591325647,0.3101675659436336,0.3433453385671754,0.7668557991382114,0.7786707833375762,0.7670169085847928,0.7787895824604504
GWO,XGB,MinMax,Train_OOF,0.9936458333333333,0.9942294526130473,0.9958202716823407,0.9950242263079759,0.9862353763284216,0.9862377877510919,0.9997238399696383,0.02239052679094091,0.9929166666666667,0.9943333333333333,0.9933570610812555,0.9950977328891634,0.9951033878169817,0.9964965870490102,0.9944522013749972,0.9955614599218569,0.9996571118568409,0.99978148958191,0.021061336120501633,0.02373112345631129,0.9846578913754382,0.9877082904689719,0.9846620132944585,0.9877154783670553
GWO,AdaBoost,Raw,Train_OOF,0.94075,0.9506521315943157,0.9567985893416928,0.953715457474856,0.8714118758999813,0.8714467973688004,0.9876631875738475,0.6224918972050655,0.9387083333333334,0.9427921875,0.9481711940283994,0.9530512863243895,0.9546456418397651,0.9589864290748824,0.9520646471964419,0.9553476322028815,0.9870282122230283,0.9883351399406685,0.6220184809802503,0.6229629939775901,0.8669180219369425,0.8758476737347161,0.8669490799831641,0.8759002297146055
