Model,Hyperparameter,Type,Lower_Bound,Upper_Bound,Choices,Log_Scale
LR,C,float,0.0001,100.0,,True
LR,penalty,categorical,,,l1|l2,
SGD,loss,categorical,,,log_loss|modified_huber,
SGD,penalty,categorical,,,l1|l2|elasticnet,
SGD,alpha,float,1e-06,0.1,,True
SGD,l1_ratio,float,0.0,1.0,,False
LDA,solver,categorical,,,svd|lsqr|eigen,
QDA,reg_param,float,0.0,1.0,,False
NB,var_smoothing,float,1e-12,1e-06,,True
KNN,n_neighbors,int,1.0,50.0,,False
KNN,weights,categorical,,,uniform|distance,
KNN,metric,categorical,,,euclidean|manhattan|minkowski,
KNN,p,int,1.0,5.0,,False
LinearSVC,C,float,0.0001,100.0,,True
LinearSVC,loss,categorical,,,hinge|squared_hinge,
SVM,kernel,categorical,,,rbf|poly|sigmoid,
SVM,C,float,0.001,1000.0,,True
SVM,gamma,categorical,,,scale|auto,
SVM,degree,int,2.0,5.0,,False
SVM,coef0,float,0.0,1.0,,False
RF,n_estimators,int,50.0,500.0,,False
RF,max_depth,int,3.0,30.0,,False
RF,min_samples_split,int,2.0,20.0,,False
RF,min_samples_leaf,int,1.0,10.0,,False
RF,max_features,categorical,,,sqrt|log2|None,
AdaBoost,n_estimators,int,50.0,500.0,,False
AdaBoost,learning_rate,float,0.01,2.0,,True
AdaBoost,algorithm,categorical,,,SAMME|SAMME.R,
GB,n_estimators,int,50.0,500.0,,False
GB,learning_rate,float,0.01,0.5,,True
GB,max_depth,int,3.0,15.0,,False
GB,min_samples_split,int,2.0,20.0,,False
GB,min_samples_leaf,int,1.0,10.0,,False
GB,subsample,float,0.5,1.0,,False
XGB,n_estimators,int,50.0,500.0,,False
XGB,learning_rate,float,0.01,0.5,,True
XGB,max_depth,int,3.0,15.0,,False
XGB,min_child_weight,int,1.0,10.0,,False
XGB,subsample,float,0.5,1.0,,False
XGB,colsample_bytree,float,0.5,1.0,,False
XGB,gamma,float,0.0,5.0,,False
XGB,reg_alpha,float,1e-08,10.0,,True
XGB,reg_lambda,float,1e-08,10.0,,True
LGBM,n_estimators,int,50.0,500.0,,False
LGBM,learning_rate,float,0.01,0.5,,True
LGBM,max_depth,int,3.0,15.0,,False
LGBM,num_leaves,int,20.0,150.0,,False
LGBM,min_child_samples,int,5.0,100.0,,False
LGBM,subsample,float,0.5,1.0,,False
LGBM,colsample_bytree,float,0.5,1.0,,False
LGBM,reg_alpha,float,1e-08,10.0,,True
LGBM,reg_lambda,float,1e-08,10.0,,True
CB,iterations,int,50.0,500.0,,False
CB,learning_rate,float,0.01,0.5,,True
CB,depth,int,3.0,10.0,,False
CB,l2_leaf_reg,float,1e-08,10.0,,True
CB,border_count,int,32.0,255.0,,False
CB,bagging_temperature,float,0.0,10.0,,False
