Model,Optimal_Scaler,Best_CV_Mean,Best_Trial,n_estimators,learning_rate,max_depth,num_leaves,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,solver,reg_param,var_smoothing,algorithm,C,penalty,n_neighbors,weights,metric,p,loss,min_samples_split,min_samples_leaf,max_features,min_child_weight,gamma,iterations,depth,l2_leaf_reg,border_count,bagging_temperature,alpha,l1_ratio,kernel,degree,coef0
AdaBoost,Raw,0.9509791666666668,45,401.0,1.8093046024213544,,,,,,,,,,,SAMME.R,,,,,,,,,,,,,,,,,,,,,,
CB,MinMax,0.9940208333333335,47,,0.3928304996753669,,,,,,,,,,,,,,,,,,,,,,,,441.0,6.0,5.920924203802527,51.0,6.306162668360591,,,,,
GB,Raw,0.9958125000000001,34,447.0,0.4001201058927384,5.0,,,0.728487134036222,,,,,,,,,,,,,,,4.0,8.0,,,,,,,,,,,,,
KNN,Raw,0.9487916666666665,15,,,,,,,,,,,,,,,,14.0,distance,manhattan,2.0,,,,,,,,,,,,,,,,
LDA,Power,0.8953125,0,,,,,,,,,,lsqr,,,,,,,,,,,,,,,,,,,,,,,,,
LGBM,Raw,0.9976875,34,361.0,0.4265358283703735,15.0,41.0,25.0,0.8242075224618575,0.912309316920778,1.3367801102293916e-07,0.00070774628679,,,,,,,,,,,,,,,,,,,,,,,,,,
LR,Power,0.8973125,20,,,,,,,,,,,,,,3.70332558170265,l1,,,,,,,,,,,,,,,,,,,,
LinearSVC,Power,0.8973125,35,,,,,,,,,,,,,,31.52339206962479,,,,,,hinge,,,,,,,,,,,,,,,
NB,Power,0.8430416666666666,0,,,,,,,,,,,,1.7670169402947963e-10,,,,,,,,,,,,,,,,,,,,,,,
QDA,Power,0.8989791666666666,41,,,,,,,,,,,0.0473105904605768,,,,,,,,,,,,,,,,,,,,,,,,
RF,MinMax,0.9706041666666667,46,233.0,,18.0,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,
SGD,Power,0.8961041666666667,47,,,,,,,,,,,,,,,l1,,,,,log_loss,,,,,,,,,,,0.0002076714555141711,0.3357453779656655,,,
SVM,Standard,0.9943541666666667,5,,,,,,,,,,,,,,285.7080075040722,,,,,,,,,,,auto,,,,,,,,poly,3.0,0.5200680211778108
XGB,MinMax,0.9935625,32,363.0,0.39702067410458236,5.0,,,0.6395919329746912,0.850622999400726,0.0007195259787929277,3.780542509229357e-06,,,,,,,,,,,,,,,2.0,0.08097672059969963,,,,,,,,,,
