Method,Model,Optimal_Scaler,Split,Accuracy,Precision,Recall,F1,Kappa,MCC,AUC,LogLoss,Accuracy_CI_Lower,Accuracy_CI_Upper,Precision_CI_Lower,Precision_CI_Upper,Recall_CI_Lower,Recall_CI_Upper,F1_CI_Lower,F1_CI_Upper,AUC_CI_Lower,AUC_CI_Upper,LogLoss_CI_Lower,LogLoss_CI_Upper,Kappa_CI_Lower,Kappa_CI_Upper,MCC_CI_Lower,MCC_CI_Upper
TPE,LGBM,Raw,Train_OOF,0.9976875,0.997943797121316,0.9984326018808778,0.9981881396601536,0.9949927001688408,0.994992927958394,0.9999364469795594,0.0077409584775405,0.9972708333333332,0.9981041666666668,0.9974249779938582,0.9984659221506156,0.9979810380376438,0.9988577209783374,0.997859363525881,0.998519819718404,0.9999065282563188,0.9999618901310257,0.006490145334866,0.0091090781355133,0.9940855875805904,0.9959045171252856,0.994085756573764,0.9959046433870884
TPE,LDA,Power,Train_OOF,0.8953125,0.9139419811778404,0.9228056426332288,0.918352425054838,0.7725194845549558,0.772589318649404,0.964980763531678,0.2398639392043483,0.8925208333333333,0.8980421875,0.9108537407629868,0.9172211097474324,0.91979345738437,0.9258199366759504,0.9160539615732584,0.9205089435630373,0.963686327777546,0.9663185905762696,0.236390871864648,0.2432830787017237,0.7666047884566957,0.7784467424778696,0.7666590697734121,0.7785408312871288
TPE,QDA,Power,Train_OOF,0.8989791666666667,0.8968926118690523,0.9509861546499476,0.9231476345193756,0.7761518278733583,0.7789886306657838,0.9670804975959828,0.2363099405570412,0.89625,0.90175,0.8936857362330272,0.9004616198127569,0.9486648606586656,0.9533549115575972,0.9209951431846436,0.9253903122979764,0.9658162628689212,0.9683999302853168,0.2326249205760342,0.2398500228230534,0.7700744861362555,0.7822968015329472,0.7731108812389361,0.7849878566304567
TPE,NB,Power,Train_OOF,0.8430416666666667,0.8855530323270104,0.8658894984326019,0.8756108836349227,0.6630508362994162,0.6633576774327674,0.9237430656584902,0.3622468720119163,0.8397703125,0.8464802083333334,0.8818179310575412,0.8893036699770694,0.8621578381103181,0.8698753511493625,0.8728669947788789,0.8785827485195137,0.9215128072596568,0.9261085967523088,0.3550617964183306,0.3691350569568094,0.6561419651024607,0.6704325333762035,0.656403060104661,0.6706809279537064
TPE,AdaBoost,Raw,Train_OOF,0.9509791666666668,0.96132632746973,0.9618599791013585,0.961593079245899,0.8938516225228361,0.8938518853778935,0.99126133565785,0.6463752884613296,0.949125,0.9528338541666668,0.9591434211702292,0.963410335450289,0.9597913647463316,0.9638859262983724,0.960111659550672,0.963103314737518,0.9907706243646396,0.991767385014637,0.6460467759612368,0.6466872014919969,0.8899059267480741,0.8978830429965672,0.8899061315878417,0.897886163488094
TPE,LR,Power,Train_OOF,0.8973125,0.9144221154156318,0.9256792058516196,0.9200162271805272,0.7766421222233884,0.7767554806044811,0.9660129541870408,0.2264499725373942,0.8946244791666667,0.9001458333333333,0.9113368827237822,0.917687472252485,0.9226792838967844,0.9286608779299236,0.917730693809374,0.9222942094694666,0.9647462799686098,0.9673466784322942,0.2220232122434152,0.2306049041483765,0.7708211996886648,0.78273817673415,0.7709526239008552,0.7828521491853985
TPE,KNN,Raw,Train_OOF,0.9487916666666667,0.954847878044054,0.9653866248693835,0.9600883317637126,0.8886699125411124,0.8887740678883247,0.989347017502492,0.1659138638228679,0.9467286458333333,0.9507505208333333,0.9523654559222245,0.9572393022024418,0.9632751616100429,0.9673252507779075,0.9584406473004672,0.9616464953901247,0.9886984569589274,0.9899785053038862,0.16128304709746252,0.17064946071596288,0.8842423873196692,0.8930084969198103,0.8843818273645133,0.8931090183541827
TPE,LinearSVC,Power,Train_OOF,0.8973125,0.916356094241177,0.9233281086729362,0.9198288902262488,0.7770436668731128,0.7770868272714456,0.9659656530596976,,0.894625,0.9001463541666667,0.9132189429004293,0.9196136371944981,0.9203488842724009,0.9263450047630821,0.9175461731710975,0.9221468615061535,0.964718379437971,0.9673049287765099,,,0.7712744096809511,0.7831003396870408,0.7713053341773639,0.7831515103366846
TPE,RF,MinMax,Train_OOF,0.9706041666666667,0.9704035296769831,0.9839341692789969,0.9771220105391163,0.9360204560421991,0.9361959497186044,0.9961584615879816,0.12100178831527976,0.9691453125,0.9721041666666667,0.968524802680565,0.9722908204804444,0.9825209673693381,0.9853765725062289,0.9759820224944659,0.9782876657911036,0.9958355131601365,0.9964698580936435,0.11900486241370002,0.1230164769416719,0.9327799102430175,0.9392694111859332,0.9329444212915622,0.939409973341028
TPE,GB,Raw,Train_OOF,0.9958125,0.9958600906216384,0.9975835945663531,0.9967210975351136,0.9909284353744444,0.9909312702772973,0.9998281129275947,0.014683657547863367,0.9952291666666667,0.996375,0.9951563022395727,0.996569330951562,0.9970298225388224,0.9981036564258979,0.99626862946796,0.9971600227857248,0.9997667135282495,0.9998818432151886,0.013381751625776128,0.01603872271420719,0.9896703006335202,0.9921423841858084,0.9896753332192806,0.992144699146243
TPE,XGB,MinMax,Train_OOF,0.9935625,0.9943254084727522,0.9955916927899686,0.9949581477311665,0.9860565934443788,0.9860581203876088,0.9997062011781704,0.021769023373476803,0.9928328125,0.9942291666666667,0.9934347999694529,0.9951162813231004,0.9948416076188167,0.9962901222032226,0.9943823168664677,0.9954793628528311,0.9996333317691649,0.999767426100916,0.02039598639774626,0.023295123733152165,0.9844406293206321,0.9875318272556111,0.984444254517558,0.98753204893104
TPE,CB,MinMax,Train_OOF,0.9940208333333334,0.994587368352408,0.9960488505747126,0.9953175729691808,0.9870483600696699,0.9870503953326683,0.9997167739291613,0.027958846134202173,0.9932916666666667,0.9946875,0.9937409879995521,0.9953713625243656,0.9953396133090152,0.9967320795071785,0.9947331103777824,0.9958367349576744,0.9996469637194336,0.9997781867856902,0.02678821348462341,0.02923674665361327,0.985489878883661,0.9885105476431827,0.9854924697418557,0.9885117650370665
TPE,SGD,Power,Train_OOF,0.8961041666666667,0.9132200767222204,0.9250587774294671,0.9191013058642226,0.7739573072572441,0.7740826432243431,0.965103227785331,0.22926162949503018,0.8932916666666667,0.8989375,0.9101066020434816,0.9165920648136648,0.9219967203894427,0.9281500921752068,0.9167697707247723,0.9214374903443711,0.9637788221931812,0.9664891582313606,0.22478342757153985,0.23345136030108624,0.7681158318857823,0.7801161721553073,0.7682263990708654,0.7802953270281695
TPE,SVM,Standard,Train_OOF,0.9943541666666667,0.994525725830102,0.9966366248693835,0.9955800564317518,0.9877673555044824,0.9877716071428541,0.999709288812347,0.019103006411456177,0.9936458333333333,0.995,0.9936891944518572,0.9953134244675542,0.9959521835291024,0.9972571159322347,0.9950272685568691,0.9960886106183439,0.9996038793173291,0.9998045225248223,0.017248547027221568,0.0211110061708101,0.9862289018166075,0.9891877101523889,0.9862439420818431,0.9891924213839508
