Feature,TPE,GWO
tau4_g4,6.860330649683552,7.095325673860027
tau2_g2,6.82416315689824,7.216117812152589
tau3_g3,6.670815931644447,7.172108080115894
tau1_g1,5.586446370271115,5.493008236048175
tau3,4.403278337597901,4.613200355760254
tau4,4.365384286522376,4.483985922805837
tau2,4.291005393684261,4.455542786094497
g_sum,3.9685887786339196,3.9728162584329056
tau1,3.8752000758934138,4.173225311930339
tau_mean,3.714721879830647,3.5197585212781894
g1,1.5000422575335226,1.4803864195418783
g_tau_ratio,0.6574654780219689,0.8081745118683193
p1,0.45837242810585116,0.4811371060179061
