Model,Trial,Best_Score_So_Far
AdaBoost,1,0.9129166666666666
AdaBoost,2,0.9129166666666666
AdaBoost,3,0.9129166666666666
AdaBoost,4,0.9129166666666666
AdaBoost,5,0.9129166666666666
AdaBoost,6,0.9129166666666666
AdaBoost,7,0.9129166666666666
AdaBoost,8,0.9129166666666666
AdaBoost,9,0.9495208333333334
AdaBoost,10,0.9495208333333334
AdaBoost,11,0.9495208333333334
AdaBoost,12,0.9495208333333334
AdaBoost,13,0.9499166666666667
AdaBoost,14,0.9499166666666667
AdaBoost,15,0.9499166666666667
AdaBoost,16,0.9499166666666667
AdaBoost,17,0.9499166666666667
AdaBoost,18,0.9499166666666667
AdaBoost,19,0.9499166666666667
AdaBoost,20,0.9499166666666667
AdaBoost,21,0.9499166666666667
AdaBoost,22,0.9499166666666667
AdaBoost,23,0.9499166666666667
AdaBoost,24,0.9499166666666667
AdaBoost,25,0.9499166666666667
AdaBoost,26,0.9499166666666667
AdaBoost,27,0.9499166666666667
AdaBoost,28,0.9499166666666667
AdaBoost,29,0.9499166666666667
AdaBoost,30,0.9499166666666667
AdaBoost,31,0.9499166666666667
AdaBoost,32,0.9499166666666667
AdaBoost,33,0.9499166666666667
AdaBoost,34,0.9499166666666667
AdaBoost,35,0.9499166666666667
AdaBoost,36,0.9499166666666667
AdaBoost,37,0.9499166666666667
AdaBoost,38,0.9499166666666667
AdaBoost,39,0.9499166666666667
AdaBoost,40,0.9499166666666667
AdaBoost,41,0.9499166666666667
AdaBoost,42,0.9501249999999999
AdaBoost,43,0.9501249999999999
AdaBoost,44,0.9501249999999999
AdaBoost,45,0.9501249999999999
AdaBoost,46,0.9502916666666665
AdaBoost,47,0.9502916666666665
AdaBoost,48,0.9502916666666665
AdaBoost,49,0.9502916666666665
AdaBoost,50,0.9502916666666665
CB,1,0.9837291666666665
CB,2,0.9879583333333333
CB,3,0.9879583333333333
CB,4,0.9879583333333333
CB,5,0.9879583333333333
CB,6,0.9879583333333333
CB,7,0.9879583333333333
CB,8,0.9883541666666668
CB,9,0.9883541666666668
CB,10,0.9883541666666668
CB,11,0.9883541666666668
CB,12,0.9896458333333333
CB,13,0.9896458333333333
CB,14,0.9902708333333333
CB,15,0.9902708333333333
CB,16,0.9927708333333334
CB,17,0.9936875000000001
CB,18,0.9936875000000001
CB,19,0.9936875000000001
CB,20,0.9936875000000001
CB,21,0.9936875000000001
CB,22,0.9936875000000001
CB,23,0.9936875000000001
CB,24,0.9937291666666667
CB,25,0.9937291666666667
CB,26,0.9937291666666667
CB,27,0.9937291666666667
CB,28,0.9937291666666667
CB,29,0.9937291666666667
CB,30,0.9937291666666667
CB,31,0.9937291666666667
CB,32,0.9940416666666667
CB,33,0.9940416666666667
CB,34,0.9940416666666667
CB,35,0.9940416666666667
CB,36,0.9940416666666667
