Model,Hyperparameter,Type,Lower_Bound,Upper_Bound,Choices,Log_Scale
AdaBoost,algorithm,categorical,,,SAMME|SAMME.R,False
AdaBoost,learning_rate,float,0.01,2.0,,True
AdaBoost,n_estimators,int,50,500,,False
CatBoost,bagging_temperature,float,0.0,10.0,,False
CatBoost,border_count,int,32,255,,False
CatBoost,depth,int,3,10,,False
CatBoost,iterations,int,50,500,,False
CatBoost,l2_leaf_reg,float,0.00000001,10.0,,True
CatBoost,learning_rate,float,0.01,0.5,,False
GradientBoosting,learning_rate,float,0.01,0.5,,False
GradientBoosting,max_depth,int,3,15,,False
GradientBoosting,min_samples_leaf,int,1,10,,False
GradientBoosting,min_samples_split,int,2,20,,False
GradientBoosting,n_estimators,int,50,500,,False
GradientBoosting,subsample,float,0.5,1.0,,False
KNN,metric,categorical,,,euclidean|manhattan|minkowski,False
KNN,n_neighbors,int,1,50,,False
KNN,p,int,1,5,,False
KNN,weights,categorical,,,uniform|distance,False
LDA,solver,categorical,,,svd|lsqr|eigen,False
LightGBM,colsample_bytree,float,0.5,1.0,,False
LightGBM,learning_rate,float,0.01,0.5,,False
LightGBM,max_depth,int,3,15,,False
LightGBM,min_child_samples,int,5,100,,False
LightGBM,n_estimators,int,50,500,,False
LightGBM,num_leaves,int,20,150,,False
LightGBM,reg_alpha,float,0.00000001,10.0,,True
LightGBM,reg_lambda,float,0.00000001,10.0,,True
LightGBM,subsample,float,0.5,1.0,,False
LinearSVC,C,float,0.0001,100.0,,True
LinearSVC,loss,categorical,,,hinge|squared_hinge,False
LogisticRegression,C,float,0.0001,100.0,,True
LogisticRegression,penalty,categorical,,,l1|l2,False
NaiveBayes,var_smoothing,float,0.000000000001,0.000001,,True
QDA,reg_param,float,0.0,1.0,,False
RandomForest,max_depth,int,3,30,,False
RandomForest,max_features,categorical,,,sqrt|log2|None,False
RandomForest,min_samples_leaf,int,1,10,,False
RandomForest,min_samples_split,int,2,20,,False
RandomForest,n_estimators,int,50,500,,False
SGD,alpha,float,0.000001,0.1,,True
SGD,l1_ratio,float,0.0,1.0,,False
SGD,loss,categorical,,,log_loss|modified_huber,False
SGD,penalty,categorical,,,l1|l2|elasticnet,False
SVC,C,float,0.001,1000.0,,True
SVC,coef0,float,0.0,1.0,,False
SVC,degree,int,2,5,,False
SVC,gamma,categorical,,,scale|auto,False
SVC,kernel,categorical,,,rbf|poly|sigmoid,False
XGBoost,colsample_bytree,float,0.5,1.0,,False
XGBoost,gamma,float,0.0,5.0,,False
XGBoost,learning_rate,float,0.01,0.5,,False
XGBoost,max_depth,int,3,15,,False
XGBoost,min_child_weight,int,1,10,,False
XGBoost,n_estimators,int,50,500,,False
XGBoost,reg_alpha,float,0.00000001,10.0,,True
XGBoost,reg_lambda,float,0.00000001,10.0,,True
XGBoost,subsample,float,0.5,1.0,,False
